Dagsetning: 2013/09/18 | Upphafstími: 15:46:15,091 | Lokatími: 15:46:16,291 | Mælitíðni (Hz): 1000 | Sample pr. channel: 100
Mæliferill: 1 | Stefna: Fram | Álag: Lóð | Fjarlægð frá enda: 20m
Upplýsingar: Hér koma einhverjar upplýsingar um verkefnið 
Annað: Hér er hægt að slá inn einhverjar aðrar upplýsingar

Analog input:
Dev1/ai0	Dev1/ai1	Dev1/ai2	Dev1/ai3	Dev1/ai4	Dev1/ai5	Dev1/ai6	Dev1/ai7	Dev1/ai16	Dev1/ai17	Dev1/ai18	Dev1/ai19	Dev1/ai20	Dev1/ai21	Dev1/ai22	Dev1/ai23	#Dev2/ai0	Dev2/ai1	Dev2/ai2	Dev2/ai3	Dev2/ai4	Dev2/ai5	Dev2/ai6	Dev2/ai7
0.000296	-0.000264	0.000066	0.000362	0.000395	0.000428	0.000263	0.000131	0.000098	0.000164	0.000230	0.000164	0.000098	0.000197	0.000197	0.000164	0.000029	-0.000004	-0.000037	-0.000037	-0.000037	-0.000037	-0.000004	-0.000004
0.000131	-0.000297	-0.000000	0.000296	0.000395	0.000395	0.000263	0.000164	0.000164	0.000197	0.000197	0.000164	0.000098	0.000164	0.000131	0.000131	-0.000004	0.000029	-0.000037	-0.000037	-0.000103	-0.000037	-0.000004	0.000029
-0.000099	-0.000297	-0.000033	0.000230	0.000362	0.000428	0.000263	0.000164	0.000131	0.000230	0.000230	0.000164	0.000098	0.000197	0.000164	0.000098	-0.000004	-0.000037	-0.000037	-0.000070	-0.000070	-0.000004	-0.000004	-0.000004
-0.000297	-0.000362	-0.000066	0.000230	0.000296	0.000395	0.000329	0.000131	0.000164	0.000230	0.000197	0.000230	0.000131	0.000164	0.000230	0.000131	-0.000004	-0.000004	-0.000070	-0.000037	-0.000037	-0.000004	-0.000004	-0.000004
-0.000626	-0.000330	-0.000066	0.000164	0.000296	0.000395	0.000296	0.000164	0.000131	0.000131	0.000230	0.000197	0.000131	0.000164	0.000164	0.000098	0.000029	-0.000004	-0.000070	-0.000103	-0.000037	-0.000037	-0.000004	-0.000037
-0.000823	-0.000297	-0.000099	0.000131	0.000296	0.000395	0.000329	0.000164	0.000131	0.000230	0.000164	0.000164	0.000131	0.000197	0.000197	0.000131	-0.000004	-0.000037	-0.000037	-0.000103	-0.000070	-0.000004	0.000029	0.000029
-0.001054	-0.000264	-0.000099	0.000033	0.000197	0.000395	0.000362	0.000164	0.000131	0.000197	0.000197	0.000230	0.000098	0.000230	0.000197	0.000098	0.000029	-0.000004	-0.000037	-0.000037	-0.000037	-0.000037	-0.000070	0.000029
-0.001449	-0.000165	-0.000132	-0.000000	0.000263	0.000395	0.000362	0.000164	0.000197	0.000197	0.000197	0.000230	0.000098	0.000197	0.000197	0.000131	-0.000004	-0.000004	-0.000004	-0.000070	-0.000070	-0.000004	-0.000037	0.000029
-0.001745	-0.000066	-0.000132	0.000033	0.000230	0.000395	0.000362	0.000164	0.000131	0.000197	0.000197	0.000197	0.000098	0.000164	0.000164	0.000164	0.000094	-0.000004	-0.000037	-0.000070	-0.000070	-0.000004	-0.000004	0.000029
-0.002107	0.000066	-0.000132	-0.000000	0.000098	0.000362	0.000362	0.000197	0.000131	0.000230	0.000197	0.000197	0.000131	0.000230	0.000164	0.000164	-0.000004	-0.000037	-0.000037	-0.000070	-0.000070	-0.000037	-0.000037	-0.000037
-0.002404	0.000164	-0.000132	-0.000000	0.000131	0.000362	0.000395	0.000197	0.000131	0.000197	0.000263	0.000230	0.000131	0.000230	0.000164	0.000131	-0.000037	-0.000037	-0.000070	-0.000037	-0.000103	-0.000037	-0.000004	-0.000004
-0.002634	0.000263	-0.000165	-0.000033	0.000033	0.000296	0.000362	0.000230	0.000164	0.000197	0.000263	0.000230	0.000098	0.000230	0.000197	0.000098	-0.000004	-0.000037	-0.000004	-0.000037	-0.000070	-0.000037	0.000062	0.000029
-0.002766	0.000296	-0.000132	-0.000000	0.000033	0.000296	0.000395	0.000164	0.000164	0.000230	0.000230	0.000230	0.000164	0.000197	0.000164	0.000164	-0.000004	-0.000004	-0.000004	-0.000037	-0.000037	-0.000037	-0.000004	-0.000004
-0.002865	0.000296	-0.000165	-0.000066	0.000033	0.000230	0.000395	0.000230	0.000164	0.000230	0.000230	0.000230	0.000164	0.000164	0.000164	0.000164	0.000029	0.000029	-0.000004	-0.000004	-0.000070	-0.000004	-0.000004	0.000062
-0.002766	0.000263	-0.000165	-0.000099	-0.000000	0.000164	0.000395	0.000263	0.000197	0.000230	0.000197	0.000197	0.000164	0.000164	0.000197	0.000164	0.000029	-0.000037	-0.000004	-0.000037	-0.000070	-0.000037	-0.000037	0.000029
-0.002634	0.000164	-0.000231	-0.000066	-0.000033	0.000197	0.000362	0.000263	0.000164	0.000197	0.000197	0.000197	0.000164	0.000197	0.000164	0.000131	-0.000004	-0.000004	-0.000037	-0.000004	-0.000103	-0.000037	-0.000070	-0.000004
-0.002338	0.000098	-0.000198	-0.000099	-0.000033	0.000098	0.000329	0.000296	0.000164	0.000230	0.000164	0.000230	0.000131	0.000263	0.000164	0.000131	0.000029	-0.000004	-0.000004	-0.000037	-0.000103	-0.000037	-0.000004	0.000029
-0.002009	-0.000165	-0.000198	-0.000099	-0.000033	0.000066	0.000362	0.000329	0.000131	0.000230	0.000263	0.000164	0.000164	0.000230	0.000164	0.000098	-0.000004	-0.000004	-0.000037	-0.000037	-0.000070	-0.000004	-0.000070	-0.000004
-0.001646	-0.000330	-0.000231	-0.000099	-0.000066	0.000033	0.000362	0.000329	0.000230	0.000197	0.000230	0.000197	0.000197	0.000197	0.000197	0.000131	-0.000004	0.000029	-0.000037	0.000029	-0.000070	-0.000004	-0.000037	-0.000004
-0.001218	-0.000560	-0.000231	-0.000099	-0.000132	-0.000000	0.000329	0.000263	0.000230	0.000164	0.000197	0.000197	0.000164	0.000197	0.000131	0.000131	-0.000004	-0.000004	-0.000004	-0.000037	-0.000103	-0.000037	0.000029	0.000062
-0.000758	-0.000758	-0.000132	-0.000033	-0.000132	-0.000033	0.000263	0.000362	0.000197	0.000230	0.000230	0.000263	0.000197	0.000197	0.000197	0.000066	-0.000037	-0.000004	-0.000004	-0.000037	-0.000070	-0.000004	-0.000037	0.000029
-0.000330	-0.001021	-0.000033	-0.000066	-0.000132	-0.000066	0.000197	0.000329	0.000230	0.000197	0.000197	0.000230	0.000197	0.000197	0.000164	0.000131	0.000029	-0.000004	-0.000037	-0.000004	-0.000037	-0.000004	0.000029	-0.000004
0.000164	-0.001284	-0.000033	-0.000033	-0.000132	-0.000099	0.000164	0.000296	0.000263	0.000197	0.000230	0.000230	0.000164	0.000230	0.000164	0.000098	-0.000004	-0.000037	-0.000037	-0.000037	-0.000103	0.000029	-0.000004	0.000029
0.000625	-0.001548	0.000098	-0.000066	-0.000132	-0.000066	0.000131	0.000329	0.000230	0.000230	0.000296	0.000230	0.000197	0.000230	0.000164	0.000164	0.000062	-0.000037	-0.000004	-0.000070	-0.000103	-0.000004	-0.000004	-0.000004
0.001086	-0.001712	0.000131	-0.000000	-0.000132	-0.000132	0.000131	0.000329	0.000197	0.000230	0.000230	0.000230	0.000197	0.000197	0.000131	0.000131	0.000029	-0.000004	-0.000037	-0.000070	-0.000103	-0.000070	-0.000004	0.000029
0.001547	-0.001844	0.000164	-0.000066	-0.000099	-0.000132	0.000098	0.000296	0.000230	0.000197	0.000263	0.000230	0.000164	0.000197	0.000230	0.000164	-0.000004	-0.000004	-0.000037	-0.000037	-0.000037	-0.000004	-0.000004	-0.000004
0.002008	-0.001910	0.000230	-0.000033	-0.000165	-0.000099	0.000033	0.000296	0.000263	0.000230	0.000263	0.000197	0.000197	0.000230	0.000164	0.000131	-0.000004	0.000029	-0.000037	-0.000037	-0.000103	-0.000037	-0.000004	0.000029
0.002436	-0.001877	0.000197	-0.000000	-0.000099	-0.000132	-0.000000	0.000230	0.000197	0.000230	0.000263	0.000230	0.000164	0.000263	0.000164	0.000197	-0.000004	0.000029	0.000029	-0.000037	-0.000037	-0.000004	-0.000004	0.000029
0.002765	-0.001778	0.000098	-0.000099	-0.000165	-0.000099	-0.000066	0.000230	0.000164	0.000230	0.000263	0.000197	0.000197	0.000197	0.000131	0.000197	-0.000004	-0.000004	-0.000004	-0.000037	-0.000103	-0.000037	-0.000004	0.000062
0.002996	-0.001679	0.000098	-0.000099	-0.000099	-0.000132	-0.000033	0.000197	0.000230	0.000197	0.000230	0.000197	0.000131	0.000230	0.000131	0.000131	0.000029	0.000029	-0.000037	-0.000037	-0.000103	-0.000070	-0.000004	0.000029
0.003160	-0.001383	-0.000000	-0.000132	-0.000132	-0.000132	-0.000033	0.000197	0.000263	0.000230	0.000263	0.000230	0.000164	0.000197	0.000131	0.000164	0.000029	0.000029	-0.000004	-0.000070	-0.000103	-0.000070	-0.000004	0.000029
0.003292	-0.001153	-0.000132	-0.000165	-0.000066	-0.000099	-0.000033	0.000164	0.000296	0.000230	0.000230	0.000230	0.000164	0.000263	0.000131	0.000131	-0.000004	0.000029	-0.000037	-0.000037	-0.000070	-0.000070	-0.000037	0.000029
0.003226	-0.000856	-0.000264	-0.000165	-0.000066	-0.000099	-0.000099	0.000131	0.000230	0.000230	0.000263	0.000230	0.000197	0.000263	0.000164	0.000131	0.000029	-0.000004	-0.000037	-0.000037	-0.000070	-0.000070	-0.000004	-0.000004
0.003193	-0.000527	-0.000362	-0.000165	-0.000066	-0.000099	-0.000099	0.000098	0.000197	0.000263	0.000197	0.000197	0.000197	0.000230	0.000164	0.000131	0.000029	0.000029	0.000062	-0.000004	-0.000136	-0.000004	-0.000004	0.000029
0.002996	-0.000231	-0.000560	-0.000165	-0.000033	-0.000099	-0.000132	0.000033	0.000230	0.000263	0.000230	0.000197	0.000197	0.000263	0.000164	0.000197	-0.000004	-0.000004	-0.000004	-0.000004	-0.000103	-0.000070	-0.000004	0.000029
0.002831	0.000164	-0.000659	-0.000132	-0.000000	-0.000132	-0.000099	0.000033	0.000197	0.000230	0.000263	0.000164	0.000197	0.000197	0.000230	0.000164	0.000029	-0.000037	-0.000004	-0.000004	-0.000103	-0.000103	-0.000004	0.000029
0.002600	0.000526	-0.000823	-0.000165	-0.000033	-0.000132	-0.000132	0.000033	0.000230	0.000230	0.000230	0.000230	0.000131	0.000263	0.000197	0.000164	-0.000004	0.000062	0.000029	-0.000037	-0.000070	-0.000037	-0.000037	-0.000004
0.002304	0.000823	-0.000955	-0.000066	-0.000000	-0.000132	-0.000099	-0.000033	0.000197	0.000230	0.000230	0.000197	0.000197	0.000263	0.000230	0.000164	-0.000004	-0.000004	0.000029	-0.000004	-0.000103	-0.000070	0.000029	-0.000037
0.002074	0.001218	-0.001054	-0.000000	-0.000000	-0.000066	-0.000099	-0.000033	0.000098	0.000164	0.000230	0.000230	0.000164	0.000263	0.000197	0.000197	-0.000037	-0.000004	-0.000004	-0.000004	-0.000070	0.000029	-0.000004	0.000029
0.001745	0.001580	-0.001087	-0.000000	-0.000033	-0.000066	-0.000132	-0.000099	0.000131	0.000230	0.000263	0.000230	0.000098	0.000263	0.000164	0.000164	-0.000004	-0.000004	-0.000004	-0.000004	-0.000037	-0.000037	-0.000004	0.000029
0.001415	0.001876	-0.001087	0.000033	-0.000033	-0.000033	-0.000099	-0.000066	0.000164	0.000230	0.000230	0.000230	0.000197	0.000263	0.000230	0.000164	-0.000037	-0.000004	0.000029	-0.000004	-0.000070	-0.000004	-0.000004	-0.000004
0.000559	0.002173	-0.001087	0.000033	-0.000066	-0.000033	-0.000099	-0.000033	0.000066	0.000197	0.000230	0.000230	0.000164	0.000263	0.000197	0.000164	0.000062	0.000029	-0.000004	-0.000004	-0.000070	-0.000037	-0.000004	0.000062
-0.004807	0.001448	-0.001186	0.000098	-0.000066	-0.000000	-0.000132	-0.000099	0.000098	0.000164	0.000230	0.000263	0.000164	0.000263	0.000164	0.000131	0.000029	0.000029	0.000029	-0.000004	-0.000070	-0.000037	-0.000037	-0.000004
-0.010470	-0.001811	-0.002865	-0.000823	-0.000264	-0.000000	-0.000066	-0.000066	0.000066	0.000164	0.000230	0.000263	0.000131	0.000296	0.000164	0.000164	0.000029	0.000029	-0.000070	-0.000037	-0.000103	-0.000004	-0.000037	-0.000004
-0.008856	-0.002897	-0.003753	-0.001482	-0.001153	-0.000198	-0.000099	-0.000099	0.000066	0.000131	0.000230	0.000263	0.000164	0.000296	0.000164	0.000131	0.000062	0.000029	0.000029	-0.000037	-0.000070	-0.000004	-0.000004	-0.000037
-0.005465	-0.000988	-0.002305	-0.000823	-0.001186	-0.000790	-0.000395	-0.000165	-0.000000	0.000164	0.000230	0.000263	0.000131	0.000263	0.000164	0.000098	0.000029	0.000029	0.000062	0.000029	-0.000037	-0.000070	-0.000037	-0.000004
-0.004247	0.001185	-0.002107	-0.001383	-0.001153	-0.000527	-0.000725	-0.000593	0.000033	0.000098	0.000230	0.000263	0.000164	0.000263	0.000230	0.000131	-0.000004	-0.000037	0.000029	-0.000004	-0.000037	-0.000004	-0.000037	-0.000004
-0.002930	0.001942	-0.001186	-0.000692	-0.001021	-0.000856	-0.000560	-0.000494	-0.000362	0.000033	0.000230	0.000197	0.000164	0.000263	0.000230	0.000131	0.000062	-0.000037	-0.000004	-0.000037	-0.000070	-0.000004	-0.000070	-0.000037
0.000493	0.002502	0.000230	-0.000362	-0.000494	-0.000264	-0.000527	-0.000659	-0.000560	-0.000165	0.000131	0.000230	0.000164	0.000230	0.000197	0.000164	0.000062	0.000029	-0.000004	-0.000037	-0.000070	-0.000037	-0.000037	0.000029
-0.000297	0.003555	0.000889	-0.000000	-0.000066	-0.000132	-0.000231	-0.000362	-0.000461	-0.000362	-0.000033	0.000131	0.000164	0.000230	0.000230	0.000164	0.000029	0.000029	-0.000004	-0.000004	-0.000070	-0.000037	-0.000004	-0.000004
-0.005136	0.002469	0.000921	-0.000033	0.000263	0.000461	0.000197	-0.000099	-0.000330	-0.000297	-0.000165	-0.000000	0.000164	0.000230	0.000197	0.000164	-0.000004	-0.000004	-0.000037	-0.000004	-0.000037	-0.000037	-0.000004	-0.000004
